age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
45-54,Mujer,Left school at 16 years,UK,White,37,32,43,32,37,5.52%,11.14%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,27,35,44,39,32,11.46%,13.21%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,University degree,UK,White,23,44,44,38,39,14.64%,11.19%,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Week,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 17 years,UK,White,45,39,45,42,44,10.34%,11.62%,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Hombre,Left school before 16 years,UK,White,37,50,57,51,42,7.85%,11.19%,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
45-54,Hombre,University degree,UK,White,53,33,56,43,39,13.63%,13.21%,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
35-44,Mujer,Left school at 17 years,UK,Other,49,39,44,41,37,18.83%,11.62%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
25-34,Mujer,University degree,UK,White,29,41,50,44,40,13.63%,4.62%,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Hombre,Professional certificate/ diploma,USA,White,22,45,51,45,46,18.83%,13.21%,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 18 years,UK,White,46,30,49,49,31,10.34%,13.21%,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
35-44,Hombre,"Some college or university, no certificate or degree",Other,White,31,29,48,44,29,18.83%,8.97%,Used in Last Year,Never Used,Never Used,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
25-34,Hombre,University degree,UK,White,37,47,39,46,40,16.29%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,36,39,51,44,39,18.83%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",UK,White,20,42,38,42,37,13.63%,11.83%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
18-24,Mujer,Left school at 18 years,UK,White,30,32,42,29,56,18.83%,11.19%,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Week,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Week,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,35,35,48,28,32,13.63%,11.19%,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",UK,White,28,46,47,36,37,7.85%,5.46%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade
25-34,Hombre,Doctorate degree,UK,White,39,40,53,40,45,18.83%,11.83%,Used in Last Day,Never Used,Used in Last Year,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
25-34,Mujer,University degree,UK,White,42,41,45,41,43,13.63%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,Left school at 18 years,UK,White,39,45,46,37,49,11.46%,11.19%,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Mujer,"Some college or university, no certificate or degree",UK,White,39,27,36,41,39,11.46%,8.97%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,28,39,46,54,37,18.83%,7.00%,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Hombre,University degree,UK,Mixed-White/Asian,26,45,41,51,48,18.83%,8.97%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Hombre,Doctorate degree,USA,White,41,40,56,49,42,7.85%,13.21%,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago
35-44,Mujer,University degree,UK,White,32,38,47,41,29,18.83%,8.97%,Used in Last Day,Used in Last Decade,Used in Last Year,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,38,40,44,42,42,11.46%,11.83%,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Week,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,University degree,Other,White,42,34,45,34,41,10.34%,11.62%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade
25-34,Hombre,Left school at 18 years,UK,White,27,39,31,45,47,14.64%,4.62%,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Mujer,Left school before 16 years,UK,White,38,33,36,38,40,18.83%,11.83%,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Hombre,Left school at 18 years,UK,White,36,42,39,49,34,13.63%,11.83%,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used
25-34,Mujer,University degree,UK,White,33,38,34,45,43,16.29%,7.00%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,Left school at 16 years,UK,White,38,52,38,51,41,5.52%,11.19%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Hombre,University degree,UK,White,34,46,35,56,52,18.83%,11.19%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,University degree,UK,White,36,43,38,47,53,16.29%,11.19%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55-64,Mujer,"Some college or university, no certificate or degree",USA,White,29,38,53,54,47,14.64%,7.00%,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,23,43,48,37,45,11.46%,13.21%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,University degree,USA,White,59,37,40,31,26,10.34%,11.62%,Used in Last Week,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",USA,White,49,38,48,42,28,13.63%,11.83%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year
35-44,Hombre,University degree,UK,White,31,43,42,48,53,18.83%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",UK,White,29,49,31,43,46,11.46%,11.62%,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Hombre,Masters degree,UK,White,27,40,48,42,42,13.63%,11.62%,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Mujer,Left school at 16 years,UK,White,40,44,41,38,40,18.83%,11.83%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
45-54,Hombre,Professional certificate/ diploma,UK,White,31,45,50,44,47,1.06%,8.97%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,University degree,UK,White,46,33,42,37,45,18.83%,4.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Hombre,University degree,UK,White,38,32,49,58,37,16.29%,13.21%,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Mujer,Masters degree,UK,White,36,39,40,38,33,7.85%,11.62%,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
18-24,Hombre,"Some college or university, no certificate or degree",UK,White,47,49,53,31,35,7.85%,11.14%,Used in Last Week,Never Used,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Year,Used in Last Week,Never Used,Never Used
18-24,Mujer,University degree,UK,White,32,44,49,41,47,18.83%,11.62%,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used
18-24,Hombre,University degree,UK,White,43,39,40,47,34,11.46%,11.62%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
18-24,Hombre,Masters degree,UK,White,25,45,40,42,47,13.63%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Hombre,University degree,UK,White,34,39,47,44,48,14.64%,11.62%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
25-34,Mujer,University degree,UK,White,48,27,44,44,45,14.64%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used
45-54,Mujer,Doctorate degree,UK,White,34,36,52,38,40,5.52%,11.19%,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Month,Never Used,Used over a Decade Ago
18-24,Hombre,University degree,UK,White,44,34,51,38,22,10.34%,11.83%,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
35-44,Mujer,University degree,UK,White,51,37,48,28,37,10.34%,13.21%,Used in Last Day,Used in Last Year,Used over a Decade Ago,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Year,Used over a Decade Ago,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Hombre,Masters degree,UK,White,31,36,47,47,47,14.64%,3.77%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Hombre,University degree,UK,White,42,40,47,47,43,18.83%,11.62%,Used in Last Day,Used in Last Month,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
25-34,Mujer,Masters degree,UK,White,45,48,57,26,39,11.46%,11.62%,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Week,Never Used,Never Used
18-24,Hombre,University degree,UK,White,48,30,54,31,44,10.34%,11.62%,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",UK,White,50,30,28,54,32,11.46%,7.00%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
35-44,Mujer,"Some college or university, no certificate or degree",UK,White,44,43,55,44,24,7.85%,11.14%,Used in Last Year,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
45-54,Mujer,Left school at 18 years,UK,White,46,33,42,52,32,18.83%,13.21%,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used over a Decade Ago
18-24,Hombre,University degree,UK,White,39,34,53,48,48,13.63%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Hombre,Masters degree,UK,White,49,32,46,40,39,7.85%,11.19%,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Hombre,University degree,UK,Asian,39,44,53,50,40,16.29%,11.19%,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
45-54,Mujer,University degree,UK,White,38,40,54,43,51,18.83%,11.83%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Decade,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Mujer,University degree,UK,White,35,41,41,41,43,14.64%,7.00%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Mujer,University degree,UK,White,25,51,55,48,42,10.34%,11.14%,Used in Last Week,Used in Last Year,Used in Last Decade,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
45-54,Hombre,Left school at 16 years,USA,White,59,28,36,53,26,18.83%,11.62%,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used
18-24,Hombre,University degree,UK,White,37,45,48,42,47,16.29%,8.97%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Mujer,Masters degree,UK,Mixed-White/Black,27,55,53,50,55,18.83%,13.21%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Hombre,Left school before 16 years,UK,White,39,40,45,51,42,13.63%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used in Last Decade
35-44,Hombre,"Some college or university, no certificate or degree",USA,White,49,40,43,38,38,10.34%,11.83%,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used
55-64,Hombre,University degree,UK,Mixed-White/Asian,33,46,47,42,45,14.64%,3.77%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Hombre,University degree,USA,White,25,46,43,48,48,16.29%,8.97%,Used in Last Year,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Mujer,University degree,UK,White,52,33,50,31,39,13.63%,8.97%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year
35-44,Hombre,Professional certificate/ diploma,UK,White,50,35,41,35,32,7.85%,11.19%,Used in Last Day,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Hombre,University degree,UK,White,40,45,44,49,46,18.83%,11.62%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Hombre,Masters degree,Australia,White,40,37,55,52,44,13.63%,13.21%,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Mujer,"Some college or university, no certificate or degree",USA,White,47,34,45,34,37,14.64%,8.97%,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used
